City,State / Country,Region,Base Single Demand,Base 8 Cut Demand,Base Wing Combo Demand,Wealth,Building Cost,Rent Cost,Demand Variance,Dough Price,Sauce Price,Cheese Price,Wings Price,Dish Pay,Cook Pay,Cashier Pay,Delivery Guy Pay,Manager Pay,General Manager Pay,Pizza Oven Maintenance,Fryer Maintenance,Fridge Maintenance,Robot Maintenance,Tax Rate,Description
Philadelphia,PA,North America,1010,640,485,74,220000,3500,44,0.27,0.52,0.92,12.5,13,15,11,7.75,21,33,12,13.5,16.5,35,0.22,Philadelphia’s dense population and historic food culture ensure steady demand. Expenses run mid-high but competition keeps quality expectations elevated.
Hiroshima,Japan,Japan,820,770,525,67,210000,5800,34,0.16,0.32,0.56,10.2,9.2,11.25,7.9,5.7,16.5,23.5,10.2,16.3,25.5,43,0.2,Hiroshima's commercial zones create dependable demand for quick service and group orders.
Chicago,IL,North America,970,615,466,72,310000,4200,60,0.21,0.6,0.89,11,13,15,10,7.25,19,30,12,12,17,29,0.18,"Chicago's food culture spans everything from quick meals to iconic deep dish classics, keeping demand strong year round. Wages and rent sit in the mid to high range, but supply and maintenance costs stay reasonable. Neighborhood loyalty often keeps returning customers close."
Jakarta,Indonesia,Asia,780,725,540,48,140000,3200,30,0.14,0.29,0.46,4.6,4.2,5.6,4,1.7,6.8,10.3,4.5,8.4,18.5,20.5,0.16,Jakarta's traffic-heavy urban core drives huge delivery demand.
Sendai,Japan,Japan,790,740,505,65,200000,5600,32,0.15,0.3,0.54,10,9,11,7.75,5.5,16,23,10,16,25,42,0.19,Sendai balances lower wages with strong regional demand and moderate restaurant density.
Dubai,UAE,Middle East,901,620,488,90,280000,7000,40,0.75,1.4,2.6,24,14,11,16,17,60,80,12,18,20,55,0.08,"Dubai's rapidly growing skyline and international flow of visitors create exceptional demand for premium food. Running a shop here involves very high building and equipment costs, and maintenance requires top tier parts. Despite the expenses, customers expect and pay for high quality service."
Gold Coast,Australia,Oceania,765,705,535,78,200000,4100,32,0.66,1.26,2.32,20,9.9,11.8,8.9,4,15.8,24.2,9.6,13.1,14.7,45,0.23,The Gold Coast’s tourism-heavy market drives high peak demand and strong weekend traffic.
Ho Chi Minh City,Vietnam,Asia,765,710,530,47,135000,3100,29,0.13,0.28,0.44,4.4,4,5.4,3.8,1.6,6.6,10,4.3,8.2,18,20,0.16,HCMC's booming youth population drives high demand for shared meals.
Brisbane,Australia,Oceania,760,700,540,76,205000,4100,32,0.65,1.25,2.3,20,9.8,11.8,8.8,3.9,15.5,24,9.5,13,14.5,45,0.22,Brisbane’s warm climate and growing metro population support steady delivery and dine-in volume.
Okinawa,Japan,Japan,770,720,495,62,185000,5400,31,0.15,0.31,0.55,10,9,11,7.7,5.4,16,23,10,16,25,41,0.19,Okinawa’s tourism-driven economy produces strong seasonal surges with consistent baseline demand.
Delhi,India,Asia,760,700,520,45,130000,3000,30,0.12,0.28,0.45,4.5,4,5.5,3.8,1.5,6.5,10,4,8,18,20,0.14,Delhi's enormous population creates unstoppable demand for affordable group meals.
Austin,TX,North America,945,585,445,75,205000,3600,42,0.28,0.55,0.95,12,12.5,15,11,7.75,21,34,12,13,16,32,0.2,"Austin’s booming tech and entertainment scene keeps demand consistently high. Costs are moderate but rising quickly, with strong wages and steady foot traffic from both locals and visitors."
Auckland,New Zealand,Oceania,750,690,525,75,210000,4200,31,0.64,1.2,2.18,19,9.8,11.3,8.7,3.9,15.2,23.5,9.3,12.7,14.2,45,0.22,Auckland’s diverse food culture and dense downtown drive consistent daily demand.
Geneva,Switzerland,Europe,920,589,455,92,225000,5000,39,0.72,1.32,2.35,21,11.75,14.75,10.75,6,20,30,11.5,18,20,46,0.3,"Geneva’s international workforce, tourism, and high wages boost demand and costs simultaneously."
Nara,Japan,Japan,760,710,485,60,180000,5200,30,0.15,0.3,0.53,9.8,8.8,10.8,7.5,5.2,15.5,22,9.8,15.5,24.5,40,0.19,Nara’s tourism corridor creates bursts of high group meal demand.
Perth,Australia,Oceania,740,680,525,74,195000,3950,31,0.63,1.22,2.25,19.5,9.5,11.5,8.6,3.8,15,23.5,9.2,12.8,14.2,44,0.22,"Perth’s isolated location raises supply costs slightly, but demand stays solid across weekdays."
Bangalore,India,Asia,740,680,510,44,125000,2900,29,0.11,0.27,0.44,4.4,3.9,5.4,3.7,1.5,6.25,9.8,3.9,7.8,17.5,19.5,0.14,Bangalore's tech workforce drives strong evening and delivery demand.
Zurich,Switzerland,Europe,900,576,450,90,220000,4800,38,0.7,1.3,2.3,21,11.5,14.5,10.5,6,20,30,11,17.5,19.5,45,0.29,"Zurich ranks among Europe's most expensive cities, with high wages and rent across the board. Strong purchasing power and business travel keep demand very high."
Hanoi,Vietnam,Asia,730,675,505,45,130000,3000,28,0.12,0.27,0.43,4.3,3.9,5.3,3.7,1.55,6.4,9.8,4.2,8,17.8,19.5,0.15,Hanoi maintains strong everyday demand with low operational costs.
Niigata,Japan,Japan,740,690,470,58,170000,5000,29,0.14,0.29,0.52,9.6,8.7,10.6,7.4,5.1,15.2,21.8,9.6,15.2,24,39,0.18,Niigata's port economy provides stable demand with moderate wages and mid-high real estate costs.
Cebu,Philippines,Asia,720,665,500,50,130000,3000,29,0.13,0.28,0.45,4.5,4.1,5.5,3.9,1.6,6.6,10,4.4,8.2,18,20,0.16,Cebu maintains strong demand with low wages and cheap ingredients.
Vancouver,Canada,North America,890,560,430,85,230000,3900,36,0.7,1.25,2.2,19,18,8.5,12,15,44,58,10,14,15,46,0.23,"Vancouver’s high cost of living elevates wages and rent, but diverse tastes and strong year-round tourism sustain robust demand."
Moscow,Russia,Europe,880,560,435,78,200000,3600,38,0.6,1.15,2,16.5,10.5,13,9,4.75,16.5,25,9.5,14.5,16.5,38,0.24,Moscow’s dense urban core and high income areas support strong demand. Costs trend higher due to wages and premium ingredients.
Adelaide,Australia,Oceania,710,655,505,72,185000,3800,30,0.6,1.18,2.15,18.5,9.2,11.2,8.3,3.7,14.5,23,9,12.5,14,43,0.21,"Adelaide offers moderate wages and rent, making it easier for smaller operators to thrive."
Toronto,Canada,North America,808,482,577,78,190000,3700,31,0.68,1.2,2.1,19,20,8.5,13,15,42,55,9.5,13,14.5,48,0.22,Toronto's multicultural environment supports a wide variety of tastes and steady demand throughout the year. Operating costs sit on the higher end with moderate rent and strong wages driving expenses. Good service and diverse menu options tend to perform well here.
Punta Cana,Dominican Republic,Caribbean,710,670,485,60,170000,3500,35,0.38,0.85,1.45,13.8,7.8,9.8,7.8,4,13.8,20,7.7,11.7,13.7,33,0.23,Punta Cana sees huge seasonal surges with strong per-order spending.
Hyderabad,India,Asia,710,650,485,42,115000,2600,28,0.1,0.26,0.42,4.2,3.8,5.2,3.6,1.4,6,9.5,3.8,7.6,17,19,0.13,Hyderabad's growing business hubs fuel strong midday and evening orders.
Wellington,New Zealand,Oceania,705,650,490,70,185000,3800,29,0.6,1.15,2.05,18,9.3,10.9,8.2,3.7,14.5,22.5,8.9,12.4,13.7,43,0.21,Wellington’s coastal business districts sustain steady lunch and delivery orders.
Nassau,Bahamas,Caribbean,700,660,480,62,175000,3900,36,0.4,0.88,1.5,14,8,10,8,4,14,21,8,12,14.2,34,0.23,Nassau's heavy tourism drives high demand but increases all operating costs.
Stockholm,Sweden,Europe,860,550,430,84,210000,4400,37,0.68,1.28,2.2,20,11,14,10,5.5,19,28,10.5,17,19,43,0.28,"Stockholm's affluent population and strong delivery culture support premium pricing. Operating costs are high, but customers expect and reward quality."
Abu Dhabi,UAE,Middle East,790,595,455,94,285000,7400,42,0.8,1.48,2.65,24,14.5,12,16.5,17.5,63,84,13,18.5,20.5,58,0.08,Abu Dhabi’s strong government and corporate sectors generate consistent demand with elevated labor and building costs.
Denver,CO,North America,875,540,420,68,180000,3200,40,0.26,0.5,0.89,11.5,11,14,10,7,19,31,11,12,15,30,0.19,"Denver’s young professional population seeks reliable, quick service meals. Wages and rent sit mid-range, and seasonal fluctuations slightly impact demand patterns."
Canberra,Australia,Oceania,695,640,495,70,180000,3600,29,0.58,1.15,2.1,18,9,11,8.1,3.6,14.2,22.8,8.8,12.2,13.8,42,0.21,Canberra’s government workforce produces strong weekday lunch surges despite lower evening demand.
Santiago,Chile,South America,725,630,470,55,90000,2300,30,0.48,0.89,1.55,13,13,6.5,8.5,9.75,30,43,7.5,10.5,12,33,0.18,Santiago combines financial-sector stability with a vibrant food culture. Wages trend slightly higher but demand remains strong.
Surabaya,Indonesia,Asia,695,645,480,44,125000,2800,28,0.12,0.26,0.42,4.3,3.9,5.3,3.7,1.5,6.3,9.6,4.1,7.9,17.2,19,0.15,Surabaya offers dependable mid-tier demand and low labor expenses.
Chennai,India,Asia,695,640,475,40,110000,2500,27,0.1,0.25,0.41,4.1,3.75,5.1,3.5,1.35,5.9,9.2,3.7,7.5,16.8,18.5,0.13,Chennai balances affordable operations with high demand in core districts.
Port of Spain,Trinidad and Tobago,Caribbean,690,645,470,52,155000,3200,32,0.35,0.8,1.38,13,7.3,9.3,7.3,3.7,12.9,19,7.4,11.2,13.1,31,0.21,"Port of Spain blends business traffic and tourism, creating a reliable flow of group orders."
Copenhagen,Denmark,Europe,840,538,420,83,208000,4300,35,0.67,1.27,2.18,19.5,10.5,13.5,9.5,5.25,18.5,27,10,16.5,18.5,42,0.28,"Copenhagen's food focused culture encourages experimentation and premium ingredients. Rent and labor are costly, making efficient service essential."
Helsinki,Finland,Europe,840,538,420,82,205000,4200,36,0.67,1.27,2.18,19.5,10.5,13.5,9.5,5.25,18.5,27,10,16.5,18.5,42,0.28,"Helsinki’s affluent residents and strong food culture support high demand, though wages and rent run steep."
Milan,Italy,Europe,840,538,420,80,195000,3800,37,0.64,1.25,2.05,18,10.5,13,9.5,5,18,26,10,14.5,16.5,40,0.27,"Milan's fashion and finance sectors support higher price points and steady lunch traffic. Rent and staffing costs run high, requiring efficient throughput."
Montego Bay,Jamaica,Caribbean,685,640,465,55,165000,3600,34,0.36,0.82,1.4,13.5,7.5,9.5,7.5,3.8,13.5,20,7.6,11.5,13.5,32,0.22,"Montego Bay thrives on tourism, generating strong weekend spikes and high volume."
Dhaka,Bangladesh,Asia,690,630,460,35,90000,2100,24,0.08,0.21,0.35,3.6,3.3,4.6,3,1.1,5.2,8.2,3.4,6.8,15,17,0.11,Dhaka's immense population density ensures high volume despite extremely low wages.
Doha,Qatar,Middle East,765,575,440,92,280000,7200,41,0.78,1.45,2.6,24,14.25,11.75,16.25,17.25,62,82,13,18,20,57,0.08,Doha’s wealthy population and business influx support premium pricing and high volume.
Rome,Italy,Europe,830,531,415,78,190000,3600,36,0.62,1.22,2,17.5,10,12.5,9,4.75,17,25,9.5,14,16,39,0.26,"Rome's historic center and dense local population generate strong daily demand. Wages and ingredient costs trend slightly high, but customers pay for recognizable quality."
Oslo,Norway,Europe,830,531,415,85,215000,4500,36,0.69,1.29,2.22,20,11,14,9.5,5.5,19,28,10.5,17,19,44,0.29,"Oslo features high wages and strict standards, raising operating costs. Consistent demand from well paid residents helps offset the expense."
Chiang Mai,Thailand,Asia,680,630,465,42,120000,2700,27,0.12,0.26,0.43,4.3,4,5.4,3.8,1.5,6.5,9.8,4.2,8,17.5,19,0.15,Chiang Mai offers strong tourism-driven demand with lower operating costs.
Bridgetown,Barbados,Caribbean,675,630,460,58,160000,3300,34,0.37,0.83,1.42,13.4,7.6,9.6,7.6,3.9,13.2,19.8,7.6,11.5,13.4,32,0.22,Bridgetown's strong tourism industry keeps meal demand steady and pricing competitive.
Nashville,TN,North America,835,525,400,63,170000,3000,39,0.25,0.5,0.88,11.5,11,13,10,6.75,18.5,30,10.5,11,14,29,0.18,"Nashville’s booming entertainment industry drives steady demand. Costs remain moderate across rent and wages, making it a strong growth market for quick-service concepts."
Manchester,UK,Europe,820,525,410,72,185000,3400,36,0.6,1.2,2,17,10,12,9,5,17,26,9,14,16,38,0.25,"Manchester's mix of students, office workers, and football crowds keeps demand steady. Rent and wages are moderate compared with London, making it attractive for expansion."
Christchurch,New Zealand,Oceania,670,615,465,65,170000,3500,27,0.57,1.1,1.98,17.5,9,10.5,8,3.5,14,22,8.6,12,13.4,41,0.2,Christchurch offers moderate costs and reliable demand as rebuilding continues to expand activity.
Mecca,Saudi Arabia,Middle East,750,560,430,90,270000,7000,40,0.75,1.4,2.55,23,14,11.5,16,17,60,80,12.5,18,20,55,0.08,"Mecca’s massive seasonal surges create some of the highest demand levels in the region, though costs remain premium."
Colombo,Sri Lanka,Asia,675,615,450,37,95000,2200,24,0.09,0.22,0.36,3.8,3.4,4.7,3.1,1.25,5.5,8.3,3.4,6.9,15.3,17.5,0.12,Colombo's tourism and local markets keep group meal sales elevated.
Amsterdam,Netherlands,Europe,810,518,405,79,190000,3700,35,0.63,1.23,2.02,17.5,10,12.5,9,4.75,17.5,26,9.5,14,16,39,0.26,"Amsterdam's compact layout and tourism heavy canals mean strong foot traffic. Operating costs are elevated but predictable, favoring well planned concepts."
Santo Domingo,Dominican Republic,Caribbean,660,620,450,48,145000,3000,29,0.33,0.76,1.32,12.8,7.1,9.1,7.1,3.6,12.8,18.5,7.3,11,12.8,30,0.2,"Santo Domingo combines local urban demand with steady tourism, keeping volume high."
Karachi,Pakistan,Asia,670,610,450,38,100000,2300,26,0.09,0.23,0.38,3.9,3.5,4.8,3.2,1.2,5.5,8.7,3.6,7.2,16,18,0.12,Karachi's dense markets support huge volume at low wage levels.
Atlanta,GA,North America,810,515,395,60,165000,3000,38,0.24,0.48,0.85,11,10.5,13,10,6.5,18,29,10,11,14,28,0.17,"Atlanta blends southern tradition with rapid economic growth, creating steady demand for affordable comfort foods. Operating costs remain manageable across most districts."
New Orleans,LA,North America,805,515,395,62,165000,3000,40,0.26,0.49,0.86,11.25,11.5,14,10,6.75,18.5,30,10.5,11.5,14.5,30,0.18,"New Orleans’ tourism-heavy economy drives spikes of high demand. Ingredient costs vary seasonally, but customer enthusiasm for food remains strong."
Barcelona,Spain,Europe,800,512,400,76,185000,3400,35,0.6,1.18,1.95,17,9.75,12,9,4.75,16.5,25,9,13.5,15.5,37,0.25,"Barcelona's tourism and coastal neighborhoods create reliable demand almost year round. Competition is high, but unique menus and reliable service stand out."
Kuwait City,Kuwait,Middle East,730,550,425,88,265000,6800,39,0.74,1.38,2.5,23,13.5,11.25,15.5,16.5,59,79,12.25,17.5,19.5,55,0.09,"Kuwait City’s high disposable income supports strong daily traffic, though operational expenses remain high."
Berlin,Germany,Europe,758,519,419,75,180000,3600,32,0.65,1.2,2.1,19,10,12,9,4,16,25,8.5,12.5,14,47,0.25,"Berlin balances historic charm with a strong creative scene that supports a wide range of food styles. Wages trend higher than average and equipment maintenance follows suit, reflecting European labor and quality standards. Still, the steady demand makes it a reliable location for long term growth."
Chittagong,Bangladesh,Asia,655,600,440,34,88000,2000,23,0.08,0.2,0.34,3.5,3.25,4.5,2.9,1.08,5.1,8,3.3,6.7,14.8,16.8,0.11,Chittagong maintains strong demand with minimal labor and supply expenses.
Vienna,Austria,Europe,790,506,395,77,188000,3600,33,0.61,1.21,1.98,17,9.75,12,8.75,4.5,17,25,9,13.5,15.5,36,0.25,"Vienna's balance of tourism and local residents produces steady, predictable demand. Wages and rent are controlled, supporting long term operations."
Manila,Philippines,Asia,721,560,401,28,91000,1700,60,0.17,0.4,0.69,5.25,2.99,4,3.1,1,8,12,4,11,24,24,0.18,"Manila offers high customer traffic with an emphasis on convenient and affordable meals. Rent is low and ingredient costs are among the easiest to manage, which allows smaller operators to scale quickly. The competitive environment rewards speed and accessibility."
Riyadh,Saudi Arabia,Middle East,720,540,420,85,260000,6500,38,0.72,1.35,2.5,22,13,11,15,16,58,78,12,17,19,54,0.09,Riyadh’s rapidly growing economy and high household incomes drive steady demand. Building and labor costs trend high but predictable.
Kingston,Jamaica,Caribbean,640,600,435,50,150000,3300,31,0.34,0.78,1.35,13,7.2,9.2,7.2,3.6,13,19,7.4,11,13,31,0.21,Kingston's active food culture and urban density create consistent all-day demand.
Dublin,Ireland,Europe,780,499,390,76,190000,3500,34,0.6,1.2,2,16.5,10,12.5,8.5,4.75,17,25,9,13.5,15.5,37,0.25,Dublin’s booming tech industry and nightlife create consistent customer flow. Costs sit in the mid-high range.
Madrid,Spain,Europe,780,499,390,74,180000,3300,34,0.58,1.15,1.9,16,9.5,11.5,8.5,4.5,16,24,8.5,13,15,36,0.24,"Madrid offers strong midday and evening traffic driven by offices and nightlife. Operating costs sit in the mid range, and customers respond well to consistent quality."
Cairo,Egypt,Africa,824,502,342,35,96500,2400,96,0.11,0.44,0.89,8.5,6.75,8,6,3.5,10,22,16,29,10,33,0.18,"Cairo blends ancient history with modern growth, creating consistent foot traffic for affordable meals. Operating costs stay low across supplies, wages, and maintenance, which helps stabilize profit margins. Local customers appreciate straightforward flavors delivered quickly."
Lahore,Pakistan,Asia,640,580,430,36,95000,2200,25,0.09,0.22,0.36,3.8,3.4,4.7,3.1,1.2,5.4,8.5,3.5,7,15.5,17.5,0.12,"Lahore blends tradition with modern growth, sustaining strong group dining demand."
Brussels,Belgium,Europe,770,493,385,75,185000,3500,34,0.6,1.2,1.95,16.5,9.5,12,8.5,4.5,16.5,25,9,13.5,15.5,37,0.25,Brussels benefits from a stable office crowd and international institutions that keep weekdays busy. Costs sit in the mid high range with reliable demand.
Birmingham,UK,Europe,770,493,385,72,180000,3200,34,0.57,1.15,1.95,16,9.75,12,8.5,4.75,16,25,9,13,15.5,36,0.24,Birmingham’s large population and business centers create dependable midday and weekend traffic.
Charlotte,NC,North America,780,490,375,60,165000,2900,36,0.24,0.47,0.83,10.5,10.5,13,10,6.25,17.5,28,9.5,10.5,13.5,27,0.17,"Charlotte’s rapid population growth boosts food traffic, with operating costs still more affordable than many major metros."
Medina,Saudi Arabia,Middle East,705,525,405,83,245000,6300,37,0.7,1.32,2.45,22,12.75,10.75,15,16,57,76,12,17,19,54,0.09,Medina’s religious tourism brings predictable waves of customers with mid-high operating costs.
St Petersburg,Russia,Europe,760,486,380,66,170000,3000,33,0.5,1,1.75,14.5,8.5,10.5,7.5,4,14,22,8,12,14,32,0.2,St Petersburg’s large population and historic districts keep steady food demand. Operating costs remain mid-range with predictable wages.
Freeport,Bahamas,Caribbean,620,580,420,55,150000,3400,33,0.36,0.8,1.38,13.2,7.6,9.4,7.4,3.8,13,19.5,7.5,11.4,13.4,32,0.22,Freeport offers strong tourist-driven demand with slightly lower costs than Nassau.
Montreal,Canada,North America,760,485,375,72,185000,3000,34,0.65,1.18,1.95,17.5,16,8,11,14,40,54,9,13,14,43,0.21,"Montreal’s blend of European influence and modern culture keeps food interest high. Operating costs are moderate, though ingredient imports raise supply prices slightly."
Havana,Cuba,Caribbean,620,580,420,48,140000,3100,30,0.32,0.75,1.3,12.5,7,9,7,3.5,12.5,18,7.2,10.8,12.5,30,0.2,"Havana's strong tourism base creates steady demand, though ingredient imports raise supply costs."
Islamabad,Pakistan,Asia,625,575,415,35,90000,2100,23,0.08,0.21,0.35,3.7,3.35,4.6,3.05,1.15,5.3,8.1,3.3,6.7,15,17,0.12,Islamabad's government and business sectors provide reliable daily demand.
Manama,Bahrain,Middle East,690,515,400,78,200000,4800,34,0.6,1.2,2.1,18.5,11.5,10,13.5,14.5,50,65,10.5,15.5,17.5,47,0.1,Manama provides reliable business and leisure traffic with manageable expenses.
Jeddah,Saudi Arabia,Middle East,690,515,400,82,240000,6000,36,0.68,1.3,2.4,21,12.5,10.5,14.5,15.5,55,75,11.5,17,18.5,52,0.09,"Jeddah benefits from coastal tourism and strong local spending power, offering consistent daily demand."
Salt Lake City,UT,North America,760,480,365,58,160000,2800,35,0.23,0.46,0.84,10.5,10.25,13,10,6.25,17.5,28,9.5,10,13.5,27,0.17,Salt Lake City’s growing tech corridor boosts wages and demand. Costs remain moderate and operations are predictable.
Minneapolis,MN,North America,760,470,365,62,160000,2900,39,0.25,0.47,0.84,11,10.5,13,10,6.5,18,29,10,10.5,14,28,0.19,"Minneapolis offers stable year-round demand driven by a mix of office workers and families. Operating costs are reasonable, though winters can slightly reduce foot traffic."
Luanda,Angola,Africa,760,480,350,40,90000,2300,28,0.13,0.48,0.9,8.75,7,8.25,6.5,3.5,10.5,23,16,29,10.5,33.5,0.19,"Luanda’s rapidly developing economy increases both demand and operating costs, while customer spending power remains strong in central areas."
Bogota,Colombia,South America,635,545,410,46,74000,1950,28,0.41,0.8,1.48,12,11.5,6.25,8,8.75,29,40,7,9.5,11,31,0.16,Bogotá’s dense urban layout and large population create strong potential for consistent sales. Operating costs stay mid-range.
Glasgow,UK,Europe,740,474,370,70,175000,3100,33,0.55,1.12,1.9,15.5,9.5,11.5,8,4.5,15.5,24,8.5,12.5,14.5,35,0.23,"Glasgow offers strong demand from students and commuters, with reasonable rent and wages."
